city,deliveryTime,foodType,price,restaurantName
aligarh,30 MINS,Pizzas,₹400 FOR TWO,Domino's Pizza
aligarh,38 MINS,"Mughlai, North Indian",₹250 FOR TWO,Tandoori Nites
aligarh,30 MINS,"Fast Food, Italian, Chinese",₹150 FOR TWO,Hotwheelz
aligarh,31 MINS,Fast Food,₹150 FOR TWO,Jassi's Breads & Bytes
aligarh,31 MINS,"Pizzas, Snacks",₹350 FOR TWO,Pizza Hut
aligarh,32 MINS,Sweets,₹300 FOR TWO,Deepak Sweets
aligarh,32 MINS,Fast Food,₹400 FOR TWO,McDonald's
aligarh,32 MINS,"Snacks, Sweets",₹150 FOR TWO,Brijwasi Lassi and Milk Badam
aligarh,33 MINS,"Afghani, North Indian",₹300 FOR TWO,Spicy Bite
aligarh,33 MINS,"Beverages, Snacks, Desserts",₹300 FOR TWO,Cafe Coffee Day
aligarh,33 MINS,"Chinese, Bakery, Indian",₹400 FOR TWO,New milkbar bakery
aligarh,34 MINS,"Mughlai, Tandoor",₹200 FOR TWO,Family Choice Restaurant
aligarh,34 MINS,"American, Fast Food",₹250 FOR TWO,Burgers n Wings
aligarh,34 MINS,Chinese,₹200 FOR TWO,Hot Wok
alappuzha,26 MINS,"South Indian, North Indian",₹249 FOR TWO,Hotel Royale Park
alappuzha,30 MINS,"Pizzas, Beverages",₹250 FOR TWO,Achayans Cafe
alappuzha,22 MINS,Bakery,₹600 FOR TWO,Pastry Chef
alappuzha,22 MINS,South Indian,₹250 FOR TWO,Brothers Restaurant
alappuzha,27 MINS,"Kerala, Beverages",₹300 FOR TWO,Kream Korner
alappuzha,34 MINS,"Beverages, Juices, Arabian, Pizzas, Chinese",₹200 FOR TWO,Arabian Shake Cafe(General Hops Jn)
alappuzha,37 MINS,"South Indian, North Indian, Chinese, Arabian",₹300 FOR TWO,Aramana Restaurant
alappuzha,47 MINS,"Cafe, Continental, Pizzas, Bakery",₹300 FOR TWO,Cafe Pumpkin
alappuzha,25 MINS,"Kerala, South Indian",₹250 FOR TWO,Halal Food Court
alappuzha,35 MINS,"Cafe, Continental",₹350 FOR TWO,Brews and Burgers Bistro
alappuzha,28 MINS,Chinese,₹400 FOR TWO,Thaza Family Food Park
alappuzha,23 MINS,"Chinese, South Indian",₹300 FOR TWO,Raja Kesavadasa Restaurant
alappuzha,33 MINS,"Kerala, Chinese",₹200 FOR TWO,Chillies Restaurant
alappuzha,26 MINS,Bakery,₹600 FOR TWO,Cutiepie Cakes
alappuzha,32 MINS,"Combo, Fast Food",₹150 FOR TWO,THE KRISPY HOUSE
alappuzha,29 MINS,Bakery,₹400 FOR TWO,Cakemellow
